POA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA2000,3,0,0,0,0,0,0,0,0,97,0,106,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,9,0,6,0,21,0,0,0,0,0,0,0,4,0,8,0,15,0,0,0,0,0,0,0,13,0,21,0,34,0,0,0,0,0,0,0,8,4,22,0,36,0,3,0,3,0,0,0,13,3,51,0,83,0,16,3,3,0,10,5,33,8,55,0,146,0,35,4,8,0,12,10,57,12,74,0,210,3,52,17,14,4,21,19,54,18,67,4,278,8,28,8,21,11,30,16,39,5,49,0,229,19,34,16,36,12,25,13,33,8,50,0,249,76,48,24,76,32,88,40,51,16,74,0,526,111,30,13,64,32,34,12,21,4,30,0,339,120,12,4,44,18,51,5,15,0,30,0,288,119,7,0,23,4,14,4,0,0,11,0,191,550,43,7,120,28,161,8,42
POA2007,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,6,0,3,0,10,0,0,0,0,0,0,0,9,0,12,0,28,0,3,0,0,0,3,0,8,0,13,0,28,0,3,0,3,0,7,0,10,0,23,0,47,0,10,0,7,5,9,4,12,7,11,0,69,0,6,0,8,0,15,0,4,0,9,0,56,5,12,3,6,7,8,4,0,4,7,0,56,16,16,5,23,12,18,4,11,0,7,0,115,28,4,0,21,5,10,0,3,3,6,0,79,31,0,0,10,6,12,0,0,0,3,0,66,27,3,0,4,3,0,0,0,0,0,0,40,98,5,3,16,7,15,6,3
POA2008,0,0,0,0,0,0,0,0,0,61,0,63,0,0,0,0,0,0,0,3,4,9,0,13,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,4,0,5,0,19,0,0,0,0,0,9,3,7,0,16,0,27,0,5,0,0,0,3,0,4,3,10,0,32,0,7,0,0,0,19,3,10,0,18,0,57,5,9,3,4,0,9,5,14,5,11,0,78,5,5,3,9,3,12,3,7,0,9,0,61,5,7,0,16,8,3,4,13,0,6,0,65,32,12,12,32,16,36,6,8,0,11,0,165,55,4,0,33,13,26,5,0,0,6,0,145,49,4,0,19,6,13,0,0,0,0,0,92,66,6,0,12,0,5,0,0,0,0,0,91,208,5,0,35,11,22,0,3
POA2009,0,0,0,0,0,0,0,0,0,31,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,5,0,33,0,41,0,3,0,0,0,0,4,8,5,29,0,49,4,4,3,0,0,4,6,11,3,25,0,59,6,5,4,5,0,10,3,25,7,42,0,103,3,3,0,11,0,11,5,14,0,17,0,69,7,5,7,7,3,11,3,10,0,28,0,76,41,21,14,45,15,49,5,32,7,41,0,257,57,11,6,34,11,20,5,11,0,28,0,184,53,12,0,26,15,17,0,8,0,19,0,161,73,8,0,13,3,7,0,3,0,10,0,120,365,15,4,77,19,85,0,27
POA2010,0,0,0,0,0,0,0,0,0,29,0,32,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,7,0,7,0,23,0,0,0,0,0,4,0,12,3,53,0,73,0,9,0,0,0,5,0,20,3,31,0,68,0,15,0,0,0,10,0,17,4,28,0,75,3,22,7,5,0,20,10,22,3,38,0,127,5,9,3,13,5,17,3,8,4,16,0,88,9,10,8,25,9,21,10,16,3,29,0,136,79,23,16,75,26,70,12,24,13,46,0,381,128,17,7,85,25,34,14,18,0,22,4,355,153,11,0,82,21,34,4,8,0,17,0,336,184,5,0,27,17,16,3,9,0,5,0,272,1167,43,3,168,46,168,10,34
POA2011,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,4,0,6,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,5,0,7,0,9,0,0,0,0,0,0,0,9,0,31,0,47,0,6,0,0,0,0,0,5,3,18,4,42,0,3,0,0,0,16,6,11,0,24,0,68,0,7,3,6,0,16,4,13,6,25,0,77,5,11,0,4,6,20,0,12,4,14,0,64,11,9,0,7,0,17,5,4,4,15,0,78,38,22,7,39,16,55,3,19,3,31,0,236,83,20,3,63,18,23,7,11,0,19,0,245,104,6,3,40,14,23,8,6,0,21,0,220,104,6,0,32,11,12,0,11,0,4,0,178,679,21,7,122,24,124,7,44
POA2015,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,16,0,20,4,4,0,0,0,4,0,0,0,10,0,21,3,0,0,0,0,9,0,7,0,11,0,26,3,13,0,11,0,0,5,9,4,9,0,48,0,4,0,9,3,12,0,12,0,4,0,44,4,5,0,12,8,8,5,13,0,8,0,63,53,19,3,44,7,39,3,12,0,8,0,192,98,5,4,44,16,27,3,7,4,8,0,209,87,9,0,53,11,25,3,0,3,0,0,185,119,0,0,35,3,9,0,0,0,0,0,169,523,7,3,54,21,35,3,0
POA2016,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,6,0,11,0,9,0,3,0,0,0,5,0,8,4,59,0,79,0,7,0,0,0,0,0,0,0,28,3,37,0,0,0,3,0,5,4,8,0,19,0,43,0,9,0,7,3,11,3,15,3,14,0,58,0,4,3,4,3,14,0,10,0,8,0,39,4,8,5,6,0,13,8,5,5,6,0,63,27,12,8,28,14,23,8,13,0,14,0,147,64,4,4,31,13,22,0,3,0,6,0,156,72,8,5,39,11,20,4,4,3,7,0,167,76,0,0,15,7,12,5,0,0,0,0,126,418,4,0,80,12,36,9,16
POA2017,0,0,0,0,0,0,0,3,0,130,0,132,0,0,0,0,0,0,0,0,0,19,0,20,0,0,0,0,0,0,0,4,0,19,0,24,0,0,0,0,0,0,0,3,0,4,0,17,0,3,0,0,0,0,0,7,0,31,0,50,0,0,0,0,0,0,0,12,3,25,0,45,0,5,0,0,4,6,0,18,5,101,5,141,0,5,0,0,0,18,6,20,6,44,0,96,0,14,9,0,0,26,3,22,9,40,0,117,4,16,9,10,8,45,16,27,8,40,0,178,3,16,5,21,15,24,8,25,9,28,0,159,20,24,4,27,13,42,10,23,8,23,3,195,166,42,21,132,56,105,31,33,13,45,6,653,250,30,16,112,56,41,17,15,5,19,4,561,265,19,6,108,33,45,8,4,3,14,4,509,273,9,9,58,20,15,13,3,0,7,0,406,836,16,3,133,37,80,6,3
POA2018,0,0,0,0,0,0,0,0,0,68,0,72,0,0,0,0,0,0,0,0,0,23,0,25,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,6,0,38,0,47,0,0,0,0,0,0,0,10,7,20,0,37,0,0,0,4,0,3,0,18,8,171,9,209,0,7,0,0,0,13,0,13,4,58,0,101,0,9,0,0,3,16,0,14,8,41,0,95,4,7,4,11,4,31,7,15,9,39,0,129,5,12,0,15,5,22,0,4,0,9,0,77,17,4,0,20,5,19,9,11,0,16,0,108,76,18,8,49,25,55,8,17,4,23,3,294,124,10,0,58,19,25,14,9,0,9,0,266,106,8,4,46,17,8,3,6,0,7,0,204,126,3,4,27,7,12,0,3,0,4,0,180,286,3,0,54,29,26,0,9
