POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2000,3035,3042,6077,1283,1350,2637,3521,2941,6459,220,153,367,176,152,327,78,47,128,100,75,174,8,6,13,17,14,22,67,51,120,0,0,0,4189,3442,7623,4013,4372,8387,183,134,313,9667,9297,18961,1191,1015,2203,13885,13360,27243
POA2007,886,799,1685,159,145,306,931,894,1830,60,63,125,67,53,118,17,16,35,36,26,61,0,3,3,4,0,4,21,25,41,0,0,0,1135,1078,2215,1153,1232,2394,39,26,69,2488,2486,4973,271,255,532,3651,3544,7196
POA2008,1084,853,1931,189,160,344,1630,1488,3113,99,99,203,113,85,201,28,39,67,52,51,102,7,12,16,4,3,10,32,57,90,0,0,0,1970,1834,3805,1459,1697,3150,72,62,136,3686,3749,7435,435,389,825,5201,4994,10195
POA2009,2057,2208,4266,551,531,1077,1549,1430,2982,101,94,194,93,80,180,29,14,45,45,38,78,6,5,11,3,3,9,22,26,47,0,0,0,1857,1689,3550,1063,1041,2105,58,66,133,3534,3329,6865,489,427,917,6082,5963,12046
POA2010,4977,3270,8243,859,520,1378,4561,3432,7995,360,258,612,261,207,471,87,77,165,142,113,256,12,10,22,14,12,28,102,91,192,0,0,0,5546,4191,9735,2143,1892,4031,190,94,287,8739,6699,15431,1312,843,2157,15031,10800,25834
POA2011,3188,2720,5909,878,692,1572,2548,2341,4892,205,166,374,197,164,364,54,43,98,99,64,165,12,4,17,6,10,19,82,69,151,0,0,4,3210,2864,6078,1192,1081,2272,103,103,208,5387,4740,10124,1004,793,1798,9580,8248,17830
POA2015,1844,1740,3586,307,302,612,2138,1980,4117,132,76,206,98,94,191,27,24,57,46,39,80,9,12,15,6,11,18,43,45,90,0,0,0,2492,2282,4772,576,603,1180,63,63,124,3438,3250,6685,316,265,580,5601,5250,10855
POA2016,2574,2084,4659,337,265,606,2020,1694,3712,103,100,203,81,96,175,37,36,68,46,43,95,9,0,12,0,9,9,49,36,86,0,0,0,2336,2022,4354,910,794,1702,84,58,138,3667,3131,6802,668,490,1155,6907,5704,12615
POA2017,3526,3205,6733,692,574,1263,4771,4078,8850,218,197,415,279,229,510,84,64,144,102,84,182,13,15,26,9,5,15,69,70,135,0,0,0,5548,4731,10280,3528,3416,6948,220,167,387,9992,8885,18873,1178,962,2146,14693,13053,27751
POA2018,4102,4341,8441,421,414,831,2618,2597,5216,83,66,150,105,105,205,21,31,56,44,33,77,11,5,19,6,0,10,37,34,66,0,0,0,2928,2872,5798,1225,1188,2411,111,66,175,4678,4534,9212,572,505,1076,9350,9376,18731
POA2019,2907,2953,5858,454,406,864,1954,2112,4069,41,36,80,51,51,107,10,16,25,25,16,42,4,0,5,5,5,16,17,15,31,0,0,0,2113,2261,4376,256,316,573,53,33,85,2874,3022,5895,395,380,772,6167,6357,12527
POA2020,3183,3185,6367,675,656,1335,3015,2846,5865,106,89,197,135,104,239,32,38,70,63,60,126,13,8,27,17,14,28,41,26,70,0,3,3,3422,3197,6618,2379,2281,4664,155,127,284,6631,6260,12894,644,547,1190,10464,9994,20452
POA2021,2861,3080,5941,518,539,1055,1955,2132,4088,119,124,243,121,122,241,28,52,81,65,65,130,10,11,18,11,4,9,42,57,99,0,0,0,2344,2570,4910,691,793,1487,50,51,98,3600,3952,7550,355,389,745,6821,7411,14232
POA2022,2454,2715,5171,391,426,816,1585,1650,3234,63,46,106,66,76,143,13,11,20,17,21,33,0,0,0,5,6,9,17,27,45,0,0,0,1759,1839,3595,1087,1147,2226,64,46,111,3303,3456,6753,454,456,907,6210,6630,12839
POA2023,2517,2705,5219,293,332,628,1209,1315,2525,50,66,110,38,42,80,12,14,24,19,14,28,0,3,3,0,0,0,16,19,34,0,0,5,1339,1470,2811,416,516,931,37,36,68,2087,2354,4441,211,215,424,4813,5273,10088
POA2024,2505,2718,5226,341,362,701,1278,1401,2684,47,51,102,42,49,93,7,8,18,26,23,44,3,3,4,3,3,3,8,13,20,0,0,0,1417,1546,2969,465,540,1007,29,37,65,2260,2483,4740,347,438,780,5109,5643,10746
POA2025,1409,1773,3183,134,175,306,911,1110,2023,33,33,65,44,45,86,6,18,24,17,26,43,0,3,3,0,0,3,9,18,25,0,0,0,1024,1250,2276,287,342,631,24,14,32,1467,1788,3247,175,221,398,3045,3781,6827
POA2026,5940,6083,12025,1336,1337,2678,3562,3700,7265,232,235,468,170,153,327,33,43,78,90,104,188,10,7,12,6,0,11,42,47,84,0,0,0,4141,4294,8434,2443,2914,5361,159,163,328,8082,8712,16799,1004,1006,2017,15027,15807,30837
POA2027,1555,1904,3456,244,250,493,981,1128,2111,45,51,93,35,42,76,13,14,21,14,24,33,0,5,5,0,8,4,17,18,39,0,0,0,1116,1277,2386,274,350,630,18,24,46,1654,1899,3555,227,288,513,3441,4087,7523
POA2028,841,1074,1915,103,135,233,640,752,1393,23,47,73,25,42,69,7,11,20,13,26,42,0,0,0,0,0,0,7,9,16,0,0,0,719,885,1603,232,251,483,10,11,27,1065,1287,2351,85,119,208,1986,2482,4475
POA2029,2052,2417,4467,285,313,603,1256,1410,2661,45,50,96,45,54,94,9,12,20,11,19,34,0,4,4,0,3,4,14,12,21,0,0,0,1377,1563,2932,365,388,751,28,36,61,2054,2299,4354,253,325,580,4360,5039,9400
POA2030,3904,4170,8075,518,543,1062,1402,1515,2921,45,40,89,51,46,94,8,14,24,21,15,35,4,3,8,7,8,10,15,17,34,0,3,3,1556,1655,3212,310,379,689,15,27,42,2400,2607,5006,337,353,695,6648,7128,13776
POA2031,6824,7630,14451,778,853,1634,4148,4646,8797,174,217,386,164,194,360,40,30,69,55,74,129,14,8,18,18,11,32,85,89,178,0,0,0,4694,5277,9973,1746,2091,3834,124,122,247,7347,8338,15683,873,944,1818,15040,16911,31952
POA2032,3116,3308,6422,285,274,564,1763,1704,3464,41,73,110,52,58,112,7,15,25,26,24,46,7,0,6,3,9,12,29,24,51,0,0,0,1915,1906,3822,1241,1058,2301,74,40,113,3521,3277,6801,396,399,795,7027,6986,14018
POA2033,2153,2225,4376,280,271,554,1599,1578,3177,64,71,138,83,94,174,25,32,56,56,49,105,8,3,10,11,9,16,47,50,95,0,0,0,1891,1884,3774,981,941,1924,45,36,83,3202,3134,6339,364,344,710,5725,5707,11423
POA2034,4169,4679,8845,576,633,1213,2170,2513,4682,107,129,240,102,120,226,19,33,46,32,50,78,6,0,9,8,5,14,36,47,86,0,0,0,2486,2897,5383,1082,1387,2472,97,89,188,4241,5009,9252,531,580,1112,8944,10267,19209
POA2035,8772,9743,18510,595,593,1193,3753,3841,7596,85,89,172,109,101,212,23,20,43,39,41,74,3,7,10,13,12,33,31,33,66,0,0,0,4068,4136,8207,1395,1498,2891,142,108,250,6199,6341,12540,852,918,1770,15819,17002,32821
POA2036,7921,8398,16317,796,820,1616,3882,4033,7910,64,52,114,119,120,241,7,11,21,43,41,87,4,4,7,12,10,25,20,19,38,0,0,0,4153,4287,8436,1168,1170,2337,104,89,193,6216,6365,12582,1990,987,2976,16131,15750,31876
POA2037,2952,3224,6171,517,594,1118,2317,2476,4790,115,125,241,111,111,224,38,36,67,53,48,102,8,7,16,5,4,9,49,63,104,0,0,0,2687,2875,5557,923,1056,1970,72,51,128,4198,4581,8774,524,489,1021,7671,8297,15964
POA2038,2113,2340,4451,195,209,400,1297,1414,2709,57,51,106,33,32,66,14,7,17,20,25,46,5,10,14,9,0,6,16,26,42,0,0,0,1435,1576,3014,230,288,516,25,35,63,1890,2101,3989,300,262,557,4294,4700,9000
POA2039,1815,2059,3873,289,320,607,1104,1223,2321,40,42,77,28,36,65,11,7,17,20,24,43,0,0,4,6,3,10,11,5,19,0,0,0,1220,1343,2560,293,339,638,25,23,52,1833,2020,3855,143,123,265,3789,4203,7992
POA2040,5151,5804,10959,717,754,1471,2923,3158,6084,91,92,186,82,102,180,20,18,35,52,55,103,0,13,15,15,8,21,32,44,71,0,0,4,3215,3485,6702,475,541,1018,67,86,153,4474,4871,9346,487,510,996,10108,11187,21298
POA2041,3658,4063,7720,724,722,1448,1606,1720,3324,84,86,166,74,62,137,22,32,51,13,27,37,0,4,5,6,10,17,22,27,48,0,0,0,1821,1967,3787,513,547,1059,42,50,81,3095,3281,6377,325,288,616,7080,7633,14718
POA2042,3498,3378,6875,479,425,904,3304,3160,6462,146,157,299,114,131,245,28,39,71,69,68,131,9,15,27,11,13,22,56,65,127,0,0,0,3739,3645,7384,815,866,1680,114,106,221,5136,5044,10186,528,406,936,9166,8835,17998
POA2043,1530,1435,2963,352,297,655,1801,1749,3552,75,57,127,50,66,118,11,19,35,30,32,58,3,3,7,3,3,7,35,33,65,0,0,0,2015,1965,3976,566,573,1138,53,46,94,2988,2875,5864,196,163,352,4708,4475,9185
POA2044,1981,1938,3922,162,140,307,1242,1203,2446,31,29,58,35,31,65,11,8,21,16,14,25,0,0,0,0,3,3,13,12,22,0,0,0,1351,1289,2641,274,274,548,43,28,68,1833,1731,3561,164,143,308,3982,3811,7793
POA2045,2146,2201,4346,131,109,242,593,636,1230,6,14,19,6,9,16,0,0,0,5,3,7,0,0,0,0,0,0,0,0,4,0,0,0,619,658,1275,76,92,169,21,16,43,849,874,1725,84,80,165,3076,3162,6233
POA2046,7121,8133,15254,875,957,1829,2935,3217,6148,55,58,114,61,57,112,17,23,40,21,29,52,0,0,0,5,7,10,11,10,24,0,0,0,3103,3394,6503,430,486,911,49,51,100,4460,4889,9349,502,655,1150,12081,13674,25755
POA2047,2776,3180,5953,386,443,837,1474,1575,3055,42,49,93,38,41,76,5,8,11,17,27,44,3,4,6,0,0,4,13,13,25,0,0,0,1597,1723,3318,281,327,609,38,32,72,2308,2520,4831,227,323,553,5311,6028,11340
POA2048,1710,1768,3478,201,186,382,1166,1267,2429,47,47,93,28,33,64,7,3,11,14,16,23,6,5,7,0,0,0,14,16,25,0,0,0,1274,1382,2656,219,212,429,28,17,48,1719,1794,3514,178,140,322,3610,3703,7314
POA2049,2476,2643,5121,251,257,513,1975,2109,4078,58,66,130,50,61,109,12,7,22,19,17,39,3,11,14,0,0,6,25,29,52,0,0,0,2150,2303,4451,335,406,735,62,52,110,2797,3014,5814,415,364,777,5683,6022,11711
POA2050,1308,1282,2590,231,252,482,1855,1725,3581,78,80,160,73,100,173,24,33,49,43,45,88,11,13,27,5,6,18,48,52,101,0,0,0,2138,2054,4194,538,605,1145,49,44,96,2963,2955,5915,320,234,557,4597,4468,9059
POA2060,2340,2679,5015,442,453,899,2365,2481,4847,97,112,205,126,114,232,25,29,55,50,46,101,8,3,10,10,13,26,52,53,110,0,0,0,2738,2849,5584,997,1070,2065,62,68,132,4230,4440,8674,402,395,801,6970,7517,14483
POA2061,1042,1238,2284,127,154,287,880,968,1850,45,59,105,40,33,79,13,11,20,20,15,34,0,4,4,0,0,0,26,23,42,0,0,0,1025,1109,2133,360,396,753,22,21,40,1534,1682,3212,226,266,497,2800,3182,5987
POA2062,1504,1688,3190,193,231,422,978,1115,2092,33,34,66,15,20,36,11,9,15,17,19,32,4,4,6,0,0,0,12,12,24,0,0,0,1066,1205,2274,254,280,541,11,12,23,1525,1728,3257,102,105,201,3124,3526,6649
POA2063,1887,2012,3901,200,196,393,620,654,1273,11,16,28,3,6,16,4,0,3,3,8,11,0,0,0,0,0,0,4,0,9,0,0,0,643,690,1332,145,169,312,10,12,20,999,1065,2063,116,147,259,3005,3226,6230
POA2064,2080,2209,4288,275,267,544,1130,1114,2244,33,44,75,26,26,57,10,7,16,15,19,36,7,0,8,0,0,0,17,14,30,0,0,0,1233,1218,2452,602,616,1218,25,13,39,2132,2118,4252,172,180,360,4391,4511,8897
POA2065,5779,6616,12392,929,989,1925,4830,4983,9813,149,164,319,162,159,323,51,55,105,75,70,148,18,12,28,11,6,19,73,74,144,0,0,0,5372,5523,10891,1600,1815,3418,103,103,213,8011,8435,16446,468,565,1033,14252,15612,29867
POA2066,7765,8283,16048,1026,1039,2063,4507,4680,9186,112,122,230,111,97,213,23,29,50,45,36,80,18,10,25,9,11,17,20,36,61,0,0,0,4847,5012,9859,1195,1263,2454,101,99,196,7159,7412,14576,485,573,1055,15410,16271,31685
POA2067,5377,6084,11464,807,938,1751,3027,3015,6043,120,98,223,79,73,151,26,21,54,43,42,86,6,13,20,3,7,12,22,26,50,0,0,0,3337,3290,6624,2114,2561,4674,98,89,185,6357,6880,13239,495,534,1028,12226,13495,25720
POA2068,4947,5249,10194,401,426,825,1818,2096,3917,37,53,94,27,28,57,8,6,21,12,19,23,7,6,15,0,0,0,14,10,24,0,0,0,1919,2223,4145,379,469,846,24,23,50,2724,3137,5862,207,257,466,7883,8646,16522
POA2069,4244,4418,8659,299,300,598,1496,1571,3069,32,32,66,30,28,55,8,17,31,12,16,28,3,0,10,0,0,0,5,14,23,0,0,0,1591,1685,3275,488,516,1001,16,19,36,2396,2522,4913,167,212,386,6810,7149,13963
POA2070,3951,4249,8202,385,424,810,1515,1632,3150,45,44,89,30,32,62,8,8,16,8,16,25,3,4,10,5,4,11,20,23,42,0,0,0,1640,1766,3409,503,612,1112,38,34,71,2567,2832,5399,155,163,320,6676,7247,13917
POA2071,3751,3999,7753,301,320,622,1365,1471,2834,26,25,53,24,24,45,5,12,16,20,17,42,3,0,3,0,0,0,20,18,32,0,0,0,1466,1565,3032,578,622,1195,21,20,42,2367,2525,4893,156,201,349,6270,6723,12997
POA2072,1875,2084,3958,256,299,557,1162,1249,2416,29,34,60,19,20,37,13,17,30,3,8,10,4,3,5,0,0,0,8,5,19,0,0,0,1236,1334,2574,497,547,1043,27,17,48,2014,2195,4211,105,135,241,4000,4418,8414
POA2073,4873,5354,10231,272,304,578,1833,2033,3863,33,36,64,34,43,76,27,16,40,17,19,38,0,0,0,0,0,0,11,7,18,0,0,0,1949,2162,4108,483,594,1074,25,20,40,2724,3076,5797,173,200,373,7768,8638,16404
POA2074,6594,7153,13750,488,530,1023,2558,2687,5246,51,42,93,42,59,102,11,12,22,22,22,46,3,9,11,5,0,9,23,14,37,0,0,0,2715,2851,5569,652,687,1341,36,29,61,3894,4095,7991,273,363,633,10762,11610,22373
POA2075,6009,6508,12520,714,732,1446,2118,2252,4367,50,70,116,27,36,66,13,6,25,18,18,31,3,10,14,5,3,4,13,9,19,0,0,0,2240,2405,4645,710,845,1563,28,27,60,3691,4013,7707,203,215,420,9906,10740,20647
POA2076,7338,7674,15013,445,480,928,2757,2956,5711,45,57,101,41,45,87,23,35,60,27,31,57,0,3,9,4,3,11,21,18,43,0,0,0,2916,3155,6068,603,648,1251,63,85,139,4023,4361,8387,330,457,782,11689,12493,24186
POA2077,9414,10004,19412,1076,1116,2187,5678,5762,11436,91,82,173,88,82,171,28,32,63,28,40,71,3,15,15,8,0,7,33,27,52,0,0,0,5957,6030,11990,2280,2591,4867,133,97,227,9445,9836,19276,691,702,1393,19548,20536,40082
POA2079,2419,2384,4804,215,225,441,780,798,1581,12,6,17,6,7,17,4,0,3,6,0,7,4,5,4,0,0,0,0,3,10,0,0,0,807,824,1628,154,170,318,17,15,25,1186,1230,2415,58,67,132,3669,3685,7348
POA2080,583,591,1174,60,54,109,149,147,291,0,0,3,0,4,4,3,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,156,161,318,12,23,31,4,7,9,228,242,470,21,14,33,832,844,1675
POA2081,1832,1832,3661,140,148,294,476,448,920,0,3,3,9,5,14,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,491,456,945,39,52,95,6,12,17,680,667,1347,43,46,91,2555,2549,5100
POA2082,1891,1937,3830,158,172,337,382,353,743,9,0,11,10,3,12,6,0,5,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,403,367,770,52,70,115,13,11,22,622,619,1249,37,48,79,2553,2606,5159
POA2083,509,489,1001,35,35,69,175,168,341,9,7,14,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,192,180,376,20,20,38,0,5,3,244,242,486,49,57,99,811,784,1587
POA2084,1193,1169,2359,67,67,130,452,448,894,3,4,6,3,4,3,0,3,3,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,460,459,920,32,30,64,9,0,10,568,557,1129,62,57,116,1820,1784,3605
POA2085,3712,3920,7630,208,211,419,1090,1176,2270,10,14,30,11,8,14,3,6,16,4,4,8,0,0,0,0,0,4,0,0,0,0,0,0,1124,1220,2341,145,151,295,18,25,45,1494,1606,3102,103,132,231,5310,5660,10968
POA2086,4470,4625,9089,261,226,478,1394,1399,2793,23,23,43,26,32,52,3,0,3,4,7,16,0,0,0,0,0,0,9,8,20,0,0,0,1459,1472,2932,275,273,548,29,22,45,2015,1991,4009,128,175,300,6618,6787,13402
POA2087,4213,4439,8650,309,288,599,1067,1164,2236,10,10,18,18,19,34,0,4,0,15,15,32,0,0,0,0,0,4,9,9,16,0,0,0,1119,1220,2335,258,282,543,17,13,30,1711,1804,3509,160,205,371,6087,6450,12533
POA2088,6626,7860,14484,858,1001,1867,2979,3560,6543,96,123,212,91,92,184,14,17,38,45,57,105,8,9,17,6,0,3,31,42,73,0,0,0,3274,3902,7175,1127,1294,2422,57,77,135,5322,6270,11597,477,556,1036,12427,14685,27110
POA2089,2012,2386,4398,316,358,677,1706,1911,3619,54,73,129,56,71,123,14,18,30,22,27,52,8,9,10,0,0,0,16,33,48,0,0,0,1881,2136,4018,561,671,1233,43,46,91,2801,3211,6010,225,276,498,5037,5868,10905
POA2090,2723,3230,5953,377,475,847,1806,2088,3895,50,52,102,35,43,80,3,10,20,19,23,44,0,3,3,4,5,5,21,22,42,4,4,4,1937,2256,4196,570,681,1255,51,47,95,2942,3453,6393,206,266,467,5865,6944,12815
POA2092,2087,2201,4284,285,246,534,706,690,1393,17,14,33,10,13,21,0,9,9,14,12,26,0,0,0,3,5,10,0,0,0,0,0,0,756,738,1493,183,189,370,15,25,37,1242,1204,2440,111,112,221,3432,3512,6946
POA2093,6256,6736,12996,728,755,1481,2578,2684,5261,49,58,109,40,45,84,8,9,13,13,17,33,4,9,9,0,0,0,11,13,28,0,0,0,2711,2830,5545,686,735,1418,65,106,169,4188,4434,8618,318,313,632,10760,11484,22239
POA2094,1308,1497,2806,310,340,653,662,710,1373,13,26,41,15,9,19,5,4,6,0,0,5,0,0,0,0,0,0,3,8,15,0,0,0,699,761,1461,253,319,574,14,18,37,1283,1437,2723,102,110,204,2695,3043,5735
POA2095,2951,3118,6073,949,906,1849,1834,1859,3695,68,72,146,57,53,112,8,9,17,21,35,56,3,4,8,0,0,3,23,16,39,0,0,0,2019,2052,4071,1219,1355,2571,80,84,165,4268,4392,8663,367,343,709,7596,7853,15442
POA2096,3538,3535,7075,605,612,1213,1849,1927,3776,42,47,86,23,46,70,6,8,11,12,22,32,0,0,0,6,6,10,10,8,18,0,0,0,1946,2065,4013,540,624,1161,57,42,103,3153,3338,6490,247,223,468,6938,7103,14034
POA2097,4530,4725,9253,393,389,780,1833,1944,3780,17,19,37,29,20,53,4,6,12,6,9,21,0,0,0,4,0,6,9,9,10,0,0,0,1904,2016,3914,267,283,554,42,37,77,2603,2730,5337,244,260,501,7378,7714,15090
POA2099,10304,10940,21243,1167,1161,2329,5268,5443,10704,66,75,136,91,103,193,18,16,37,46,30,76,9,18,25,4,6,7,22,20,43,0,0,0,5528,5706,11231,1760,1825,3591,156,135,294,8612,8829,17439,800,837,1636,19713,20609,40313
POA2100,6559,6676,13233,470,503,972,2215,2322,4543,27,29,50,47,42,89,12,14,24,13,15,31,3,0,3,0,0,0,12,6,22,0,0,0,2331,2432,4764,445,466,915,61,92,153,3312,3494,6809,339,377,715,10211,10548,20758
POA2101,5280,5561,10840,423,402,824,2491,2691,5181,20,24,46,35,34,62,20,8,31,8,12,25,6,7,10,13,6,16,4,5,14,0,0,0,2586,2790,5381,368,376,743,64,55,126,3444,3629,7070,437,442,880,9160,9628,18789
POA2102,2011,2199,4213,235,266,504,1081,1182,2270,4,10,15,8,14,18,5,0,4,3,0,5,0,3,0,0,0,0,0,4,5,0,0,0,1112,1212,2325,119,136,247,35,32,67,1500,1643,3142,211,292,495,3725,4135,7852
POA2103,3041,3263,6303,313,334,644,1186,1213,2397,15,13,21,26,22,46,3,0,3,3,5,16,0,0,0,0,0,0,0,4,9,0,0,0,1241,1257,2496,148,180,331,26,28,57,1732,1799,3531,268,298,558,5034,5356,10396
POA2104,1080,1298,2380,65,71,136,398,428,827,8,9,14,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,415,444,863,42,56,101,11,18,27,540,592,1125,76,115,194,1699,2005,3700
POA2105,604,575,1172,51,46,97,203,221,424,10,5,12,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,230,445,64,49,113,3,5,8,336,334,662,54,53,109,994,952,1947
POA2106,2680,2830,5510,389,382,770,1064,1100,2167,19,13,26,23,18,40,6,5,9,7,4,12,0,0,0,0,3,3,0,6,4,0,0,0,1122,1142,2260,123,144,271,27,25,53,1663,1692,3353,154,174,332,4493,4701,9201
POA2107,4543,4748,9287,647,658,1308,1348,1460,2810,43,48,86,17,23,42,8,9,16,18,8,28,0,0,3,0,0,4,7,8,15,0,0,0,1446,1562,3003,303,276,580,36,31,65,2434,2528,4959,222,276,504,7200,7550,14754
POA2108,468,461,928,80,68,144,188,208,400,4,0,3,9,10,13,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,207,219,428,35,35,68,4,9,11,326,328,661,48,43,93,840,839,1679
POA2110,2844,2956,5800,258,279,538,946,917,1863,22,30,50,13,19,31,3,0,9,4,5,8,5,0,5,4,0,4,6,3,11,0,0,0,999,975,1977,171,164,337,20,15,35,1450,1433,2882,292,453,739,4590,4837,9432
POA2111,3868,4215,8084,433,469,899,2010,2029,4039,28,28,58,30,38,69,7,12,22,14,15,32,3,0,4,11,7,15,17,16,24,0,0,0,2122,2147,4264,319,394,715,37,38,75,2912,3041,5956,279,309,590,7060,7570,14631
POA2112,8556,9119,17674,788,830,1620,5114,5357,10467,106,84,185,74,90,166,30,36,73,51,44,91,3,8,19,18,16,33,39,43,77,0,0,0,5430,5671,11099,1648,1866,3522,146,119,259,8010,8485,16501,722,835,1557,17293,18445,35737
POA2113,4970,5300,10266,549,612,1161,3945,4011,7957,128,122,255,114,133,247,24,34,57,68,54,118,12,7,21,3,0,6,52,41,97,0,0,0,4348,4414,8761,2117,2268,4384,87,87,176,7108,7379,14481,678,648,1328,12756,13322,26077
POA2114,5931,6035,11973,648,671,1314,3303,3303,6605,72,64,132,58,72,134,14,14,30,35,26,59,3,0,5,7,5,8,27,16,43,0,0,0,3524,3505,7024,1188,1369,2560,87,81,166,5445,5618,11065,376,410,784,11748,12071,23816
POA2115,3254,3223,6478,330,306,634,1529,1498,3023,41,40,84,53,53,104,6,13,23,13,24,36,0,4,5,11,3,16,17,19,31,0,0,0,1674,1651,3324,292,355,643,45,32,70,2331,2338,4670,380,321,696,5961,5881,11845
POA2116,1878,1936,3817,211,222,431,861,833,1698,12,8,16,16,13,24,0,0,3,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,897,859,1754,180,200,387,18,27,41,1306,1306,2607,194,167,364,3381,3415,6797
POA2117,5891,6118,12010,453,511,963,2655,2578,5229,39,57,96,56,46,100,21,15,36,24,23,45,0,3,7,13,10,12,16,25,42,0,0,0,2824,2755,5576,575,633,1208,73,61,137,3924,3956,7880,533,519,1051,10345,10593,20940
POA2118,7179,7383,14562,444,490,927,3409,3379,6785,79,69,147,81,80,160,30,40,69,50,41,94,6,4,7,8,7,13,25,29,51,0,0,0,3684,3654,7336,1279,1311,2590,89,71,162,5493,5524,11016,371,383,752,13046,13295,26338
POA2119,3653,4081,7734,265,332,595,1167,1269,2437,28,34,59,17,26,47,10,18,30,9,0,8,0,0,0,0,0,0,4,9,13,0,0,0,1238,1359,2596,267,368,635,21,16,30,1786,2071,3853,185,202,380,5619,6347,11963
POA2120,6322,6669,12989,492,510,1000,2185,2110,4296,45,39,82,24,37,59,15,17,35,21,21,36,5,0,0,6,10,18,9,10,14,0,0,0,2312,2241,4550,441,493,937,45,30,72,3291,3266,6555,233,212,442,9839,10148,19987
POA2121,7480,7975,15455,890,896,1786,4298,4538,8833,106,105,211,103,102,206,45,39,87,62,57,121,0,8,12,5,4,10,26,29,52,0,0,0,4647,4880,9529,2260,2442,4705,95,82,168,7885,8296,16185,410,431,840,15770,16707,32478
POA2122,7285,7912,15199,930,1001,1934,3477,3484,6957,93,91,188,78,75,158,31,35,72,29,25,53,10,7,20,9,10,16,38,28,67,4,0,3,3770,3765,7531,1755,1853,3611,134,89,215,6585,6711,13297,566,571,1139,14434,15192,29630
POA2125,5495,5706,11203,276,252,524,1515,1528,3040,21,24,45,22,23,46,9,6,21,22,27,46,0,3,3,0,0,0,0,0,0,0,0,0,1595,1609,3199,285,292,578,26,16,41,2180,2166,4345,137,154,295,7815,8025,15842
POA2126,5952,6144,12089,359,344,704,1741,1743,3481,39,44,86,21,23,47,8,11,21,20,19,38,0,0,0,0,0,0,13,12,21,0,0,0,1851,1840,3699,670,663,1338,14,13,30,2892,2865,5760,215,315,536,9061,9326,18386
