POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6150,824,2119,595,596,797,566,207,366,98,6175
POA6151,1595,3601,739,915,1079,684,243,440,146,9450
POA6152,1911,5025,1225,1444,1629,958,480,753,207,13638
POA6153,1990,4010,839,887,1372,875,256,456,156,10843
POA6154,786,1730,572,527,628,441,179,288,70,5214
POA6155,2991,7333,3481,2934,3423,2255,1631,2098,396,26536
POA6156,1518,2826,1012,897,1210,766,340,520,130,9221
POA6157,1225,2444,863,807,999,567,236,428,77,7646
POA6158,772,1509,318,408,408,290,78,188,43,4016
POA6159,418,914,133,194,167,87,35,85,40,2073
POA6160,740,1980,505,588,449,288,141,286,66,5050
POA6161,28,6,25,34,10,6,0,15,0,126
POA6162,932,2320,687,728,565,365,203,328,86,6213
POA6163,3191,6938,4443,3268,3322,2078,1609,2320,470,27634
POA6164,4012,8112,6022,4191,5041,2804,2518,3144,579,36416
POA6165,4,0,7,3,3,0,8,5,0,35
POA6166,781,1105,1030,557,770,484,353,464,101,5653
POA6167,976,1683,2323,1579,1542,1086,1502,1606,210,12506
POA6168,921,1185,1948,1681,1147,793,1036,1328,175,10214
POA6169,1363,2210,3079,2153,1746,1284,1554,1786,279,15451
POA6170,699,1495,1577,1244,1066,703,964,963,138,8833
POA6171,1882,2836,3456,2648,2314,1505,1780,1727,324,18478
POA6172,542,744,1255,869,687,654,660,733,131,6278
POA6173,768,1101,1291,972,773,615,466,554,115,6664
POA6174,271,433,582,417,304,237,266,305,51,2869
POA6175,195,359,431,263,203,174,171,190,45,2038
POA6176,118,117,186,153,118,97,113,110,31,1035
POA6180,291,448,586,467,328,301,349,327,42,3127
POA6181,36,41,53,33,33,23,22,23,9,270
POA6182,0,0,0,0,0,0,0,0,0,0
POA6207,78,57,155,57,62,38,64,51,11,574
POA6208,485,535,1049,618,479,445,770,629,88,5100
POA6209,74,87,184,89,72,74,97,83,8,771
POA6210,2858,4290,5444,4170,3096,2822,3185,3185,515,29570
POA6211,340,476,708,428,343,308,398,385,72,3464
POA6213,38,40,46,36,22,6,50,46,9,294
POA6214,66,27,60,31,25,14,48,40,4,322
POA6215,192,144,407,174,152,105,286,236,51,1750
POA6218,32,12,43,26,13,15,34,36,7,218
POA6219,47,30,65,24,21,11,35,41,5,275
POA6220,234,178,338,149,170,100,218,554,63,2008
POA6221,43,18,17,14,15,7,8,24,0,151
POA6223,24,14,20,7,8,10,9,8,6,103
POA6224,65,48,101,67,42,38,69,80,6,519
POA6225,290,322,808,403,296,261,583,542,80,3581
POA6226,69,67,124,46,63,29,55,46,8,499
POA6227,47,60,78,32,55,20,43,43,3,393
POA6228,25,6,11,9,3,3,5,10,0,69
POA6229,10,7,14,4,14,7,11,8,0,63
POA6230,1892,3712,3570,2534,2301,1796,1877,2716,314,20709
POA6232,409,676,1047,646,636,557,642,661,93,5364
POA6233,798,1432,1961,1124,1152,833,1112,1145,160,9715
POA6236,219,187,189,102,135,69,117,123,19,1156
POA6237,191,223,245,135,142,79,147,149,25,1342
POA6239,307,290,367,219,197,124,254,284,45,2079
POA6240,29,19,15,3,8,5,3,8,4,92
POA6243,9,4,3,0,0,5,3,5,0,36
POA6244,234,65,84,43,68,38,56,96,9,694
POA6251,49,10,21,12,14,4,13,30,0,148
POA6252,16,4,12,5,5,3,6,16,3,71
POA6253,71,47,39,26,21,14,28,20,3,276
POA6254,19,20,51,15,18,4,42,45,4,214
POA6255,305,297,304,224,167,136,219,205,30,1881
POA6256,80,24,33,24,23,11,16,24,4,241
POA6258,570,331,445,312,308,243,296,570,51,3123
POA6260,192,74,57,64,57,40,53,156,17,704
POA6262,93,29,39,36,18,11,30,59,3,311
POA6271,191,235,281,205,143,114,181,239,22,1621
POA6275,141,79,81,58,58,21,52,116,12,611
POA6280,1737,2141,2477,1805,1428,1393,1088,1787,225,14085
POA6281,610,817,805,454,380,357,166,451,72,4117
POA6282,158,194,106,71,65,54,21,81,17,772
POA6284,234,281,247,139,159,108,88,172,19,1445
POA6285,792,1030,950,673,412,463,303,735,71,5437
POA6286,78,66,73,41,32,43,31,52,3,423
POA6288,99,30,48,28,22,12,24,72,6,337
POA6290,110,81,112,78,67,62,34,103,14,656
POA6302,255,196,216,171,154,101,136,168,29,1421
POA6304,171,69,69,57,60,30,76,90,17,643
POA6306,142,36,33,43,38,20,31,59,6,420
POA6308,191,53,82,50,52,25,76,91,9,627
POA6309,41,7,12,11,16,7,12,29,3,130
POA6311,76,27,38,19,36,17,24,47,4,284
POA6312,304,326,312,248,212,153,155,273,29,2016
POA6313,41,15,13,9,14,0,7,17,0,119
POA6315,203,78,103,77,79,49,72,135,16,807
POA6316,73,15,13,9,11,11,20,22,0,176
POA6317,253,207,272,181,180,141,111,444,41,1834
POA6318,96,27,19,17,19,6,19,33,3,234
POA6320,111,19,18,18,14,0,18,26,0,234
POA6321,97,7,14,15,14,4,31,35,6,226
POA6322,41,11,7,7,8,3,3,11,3,99
POA6323,80,44,44,41,37,14,45,76,9,398
POA6324,337,181,210,166,151,109,133,272,37,1603
POA6326,85,37,26,13,31,17,21,38,9,287
POA6327,45,4,10,15,8,5,7,14,0,116
POA6328,94,17,18,14,19,9,16,39,6,225
POA6330,2065,3005,2696,2441,1817,1621,1183,2174,249,17254
POA6333,503,528,397,277,228,179,131,310,45,2592
POA6335,102,30,65,16,40,15,39,44,6,351
POA6336,88,10,13,7,10,3,13,39,0,195
POA6337,110,26,27,6,24,11,32,38,0,271
POA6338,150,23,46,18,27,8,27,67,4,370
POA6341,56,11,4,9,8,6,25,22,6,137
POA6343,66,11,8,3,7,0,13,22,0,122
POA6346,127,30,58,21,40,15,95,52,20,462
POA6348,66,63,96,39,45,20,81,43,12,459
POA6350,38,12,22,15,14,9,14,17,3,133
POA6351,17,5,0,0,0,0,0,5,0,33
POA6352,32,8,6,9,5,4,0,11,3,70
POA6353,151,50,55,35,42,25,38,51,9,460
POA6355,140,16,14,6,19,13,26,35,7,270
POA6356,35,3,3,5,0,3,11,9,0,73
POA6357,21,0,5,0,0,0,5,3,0,36
POA6358,27,6,3,3,6,0,3,7,3,60
POA6359,85,12,25,10,27,13,31,32,0,242
POA6361,28,0,0,5,0,0,0,7,4,51
POA6363,28,14,4,0,0,0,0,10,0,59
POA6365,108,29,21,18,21,10,25,32,4,263
POA6367,64,6,19,16,17,6,13,24,6,171
POA6368,34,3,7,0,0,0,0,4,0,44
POA6369,103,28,31,20,22,16,20,49,4,287
POA6370,87,11,22,10,17,11,19,25,6,207
POA6372,16,0,6,8,0,5,3,8,0,50
POA6373,35,0,0,0,9,0,6,3,0,54
POA6375,138,36,51,42,46,29,37,52,7,442
POA6383,105,25,26,36,24,15,22,37,0,288
POA6384,10,0,0,0,0,0,0,3,0,18
POA6385,12,0,0,0,0,0,0,0,0,12
POA6386,14,5,4,0,6,4,10,4,0,39
POA6390,99,79,148,53,76,25,185,74,13,745
POA6391,200,56,57,32,41,23,58,81,10,550
POA6392,102,17,24,10,9,3,16,27,0,218
POA6393,22,0,4,0,7,0,0,11,0,46
POA6394,139,24,15,5,17,13,7,40,0,261
POA6395,229,75,91,54,63,35,72,135,16,760
POA6396,86,12,9,11,18,3,13,48,0,205
POA6397,17,0,0,0,0,0,0,7,0,36
POA6398,50,32,28,20,18,23,11,32,14,221
POA6401,473,424,486,399,394,310,306,435,56,3280
POA6403,7,6,6,13,6,16,5,11,0,73
POA6405,37,10,19,10,5,5,23,23,5,147
POA6407,108,41,65,37,47,33,30,61,9,437
POA6409,61,10,11,17,15,9,10,21,0,161
POA6410,70,35,55,49,27,29,34,71,9,372
POA6411,26,11,3,3,7,3,5,4,4,72
POA6412,8,4,0,5,4,0,0,0,0,23
POA6413,6,0,3,4,0,0,0,0,0,23
POA6414,6,3,4,4,0,0,4,0,0,34
POA6415,193,151,210,144,132,100,153,136,30,1253
POA6418,93,23,38,30,22,8,37,33,5,298
POA6419,18,0,4,0,0,0,0,6,0,31
POA6420,31,4,3,0,4,0,8,4,0,50
POA6421,25,4,4,4,9,5,3,5,0,66
POA6422,15,4,4,0,3,0,0,0,0,31
POA6423,25,0,9,0,7,8,10,12,0,66
POA6424,23,3,4,0,3,0,5,6,0,44
POA6425,28,5,4,0,4,0,3,3,0,44
POA6426,96,23,81,22,45,16,108,69,7,472
POA6427,0,0,15,0,0,0,19,6,6,46
POA6428,15,3,0,0,0,0,0,0,0,25
POA6429,27,25,67,33,34,16,105,38,8,359
POA6430,1167,2000,2624,1123,1360,735,1810,953,192,11967
POA6431,34,47,61,21,22,3,82,31,5,304
POA6432,210,229,747,291,325,259,690,386,67,3202
POA6434,10,10,17,0,0,0,36,25,0,94
POA6436,9,4,4,4,3,0,16,9,0,57
POA6437,26,20,81,22,34,9,111,58,8,364
POA6438,34,35,52,38,33,11,51,43,7,307
POA6440,47,66,106,41,30,4,180,41,7,518
POA6442,48,88,218,79,92,56,300,85,23,978
POA6443,42,37,40,34,25,17,39,45,3,287
POA6445,50,5,3,3,3,3,3,3,4,88
POA6446,40,0,5,0,5,0,3,9,0,72
POA6447,67,0,5,5,9,0,4,14,4,109
POA6448,59,12,19,14,11,6,24,24,10,185
POA6450,978,798,955,548,685,503,755,778,133,6133
POA6452,0,0,0,0,0,0,0,0,0,0
POA6460,72,29,41,27,36,11,37,35,5,298
POA6461,62,21,23,22,21,7,29,25,4,212
POA6462,46,0,3,4,9,0,7,7,0,83
POA6463,13,6,4,0,0,0,0,0,0,14
POA6465,22,0,0,0,0,0,0,0,0,24
POA6466,17,0,0,5,0,4,3,4,0,33
POA6467,15,0,0,0,0,0,0,0,0,22
POA6468,48,8,10,4,9,0,10,14,0,107
POA6470,5,0,0,0,0,0,0,0,0,11
POA6472,53,3,3,0,3,0,8,20,0,91
POA6473,13,3,0,0,4,0,0,0,0,24
POA6475,70,12,12,16,13,8,22,24,3,183
POA6476,15,0,0,4,0,0,0,0,0,25
POA6477,47,4,17,9,8,0,10,16,0,123
POA6479,105,23,33,13,21,15,31,23,7,270
POA6480,10,0,0,0,10,0,0,0,0,20
POA6484,4,0,6,0,0,0,3,0,0,17
POA6485,63,19,17,17,30,5,15,31,3,193
POA6487,17,0,0,5,0,0,0,0,0,28
POA6488,27,0,9,9,4,5,12,9,0,73
POA6489,9,0,3,4,3,0,4,0,0,28
POA6490,37,7,10,12,10,3,13,12,0,98
POA6501,70,46,97,37,52,22,62,62,18,467
POA6502,81,63,78,64,53,25,66,58,5,497
POA6503,316,83,145,52,127,50,136,279,19,1208
POA6504,24,16,4,4,7,4,8,12,0,93
POA6505,42,0,3,4,4,3,7,16,0,78
POA6506,13,3,0,0,0,3,6,7,0,36
POA6507,102,31,25,8,25,8,50,33,3,286
POA6509,30,5,11,9,3,3,4,14,3,85
POA6510,162,102,131,91,108,62,97,116,9,878
POA6511,34,17,26,23,23,7,21,45,5,196
POA6512,20,5,9,11,0,0,5,3,3,55
POA6513,49,4,7,3,10,0,4,16,0,89
POA6514,36,20,36,15,19,18,33,35,5,220
POA6515,64,14,6,6,23,7,27,14,4,163
POA6516,111,120,158,82,97,72,98,129,14,874
POA6517,55,18,24,17,23,10,25,23,0,186
POA6518,37,7,3,0,3,0,9,25,0,87
POA6519,86,15,29,28,24,4,30,21,12,242
POA6521,85,13,20,0,15,3,15,44,3,211
POA6522,83,13,14,14,9,9,20,20,3,184
POA6525,211,172,282,140,137,118,156,210,42,1465
POA6528,35,29,30,11,23,4,22,22,4,182
POA6530,1416,2569,2475,2035,1684,1400,1346,1739,225,14898
POA6532,560,517,626,414,409,252,340,321,58,3507
POA6535,165,63,57,63,55,28,74,94,12,608
POA6536,97,77,89,65,49,51,49,137,18,627
POA6537,64,51,69,58,46,30,36,78,16,456
POA6556,112,160,212,128,130,83,103,91,30,1037
POA6558,61,60,75,47,46,28,30,28,7,393
POA6560,50,60,103,62,74,47,72,89,9,569
POA6562,74,79,124,95,62,45,71,50,18,614
POA6564,12,9,32,18,17,12,18,23,13,148
POA6566,178,191,215,157,167,84,164,115,27,1310
POA6567,28,25,38,22,14,15,24,24,0,191
POA6568,42,12,8,3,3,6,15,12,3,118
POA6569,42,10,25,4,6,8,11,14,3,120
POA6571,14,3,0,0,0,0,6,5,0,35
POA6572,11,4,3,3,0,0,4,0,0,27
POA6574,23,0,3,4,0,0,6,4,0,39
POA6575,34,7,4,3,3,0,7,4,0,57
POA6603,112,53,90,43,59,38,64,73,8,546
POA6605,11,3,6,0,0,0,0,0,0,21
POA6606,28,9,8,0,3,7,3,13,0,66
POA6608,38,10,5,6,0,0,5,7,0,71
POA6609,103,50,62,22,53,24,43,38,10,398
POA6612,38,4,8,3,3,0,5,3,0,71
POA6613,12,4,0,0,5,0,0,0,0,25
POA6614,11,0,0,0,0,0,0,4,0,16
POA6616,14,0,0,0,0,0,7,5,0,21
POA6620,81,18,27,17,24,3,51,25,4,248
POA6623,67,25,14,26,19,11,19,19,5,204
POA6625,28,3,4,0,0,0,0,3,0,37
POA6627,14,0,0,0,0,0,0,0,0,24
POA6628,0,0,0,0,0,0,0,0,0,5
POA6630,51,21,13,25,20,0,20,31,5,179
POA6631,11,0,0,0,0,0,0,0,0,10
POA6632,24,7,3,0,4,0,0,6,0,39
POA6635,22,8,21,10,8,0,44,16,0,129
POA6638,25,26,27,12,16,7,29,28,6,179
POA6639,10,0,3,5,3,0,8,8,5,44
POA6640,15,6,21,3,4,3,43,12,6,111
POA6642,75,60,85,47,38,18,87,60,12,483
POA6646,27,20,40,17,11,3,36,36,8,196
POA6701,448,285,280,278,269,186,170,328,52,2285
POA6705,23,17,0,5,0,0,0,11,0,56
POA6707,226,254,324,231,198,131,76,236,43,1727
POA6710,65,63,87,50,48,13,52,61,9,447
POA6712,0,0,0,0,5,0,0,0,0,8
POA6713,82,117,191,48,89,20,70,66,9,692
POA6714,991,1390,2281,839,1025,535,934,919,199,9105
POA6716,35,51,182,36,25,9,162,62,11,574
POA6718,17,29,25,50,19,11,19,35,0,201
POA6720,90,100,351,98,110,37,198,115,29,1132
POA6721,346,413,589,129,314,102,255,181,46,2387
POA6722,387,608,1354,517,554,329,907,593,159,5402
POA6725,663,1101,651,734,658,351,263,462,123,5002
POA6726,422,705,357,409,341,199,144,261,50,2889
POA6728,173,330,150,328,168,63,82,168,36,1501
POA6740,54,77,40,86,38,14,27,49,14,406
POA6743,451,581,367,415,359,145,173,326,82,2895
POA6751,159,225,548,145,162,72,540,224,57,2130
POA6753,234,355,966,239,252,131,873,400,78,3523
POA6754,31,35,144,34,44,24,259,66,20,669
POA6758,25,57,190,22,20,0,182,52,4,570
POA6760,23,34,103,25,13,8,97,79,13,394
POA6762,21,56,98,13,10,0,90,29,0,320
POA6765,59,129,51,103,52,21,14,44,29,498
POA6770,101,150,75,146,48,21,32,70,34,681
POA7000,1222,3239,767,1078,870,619,133,501,117,8548
POA7004,590,1775,368,482,421,221,64,232,44,4197
POA7005,1072,2414,520,915,743,522,152,451,139,6930
POA7007,267,640,147,215,168,121,34,86,21,1694
POA7008,893,2280,705,958,843,524,197,463,86,6948
POA7009,631,1416,930,1214,831,632,407,840,124,7028
POA7010,673,1150,1175,1443,1078,849,560,1087,211,8232
POA7011,636,918,1152,1096,977,692,542,958,149,7114
POA7012,48,72,78,50,64,32,35,33,14,431
POA7015,686,1395,676,675,747,427,164,355,80,5210
POA7016,73,84,177,180,126,95,83,188,24,1030
POA7017,459,572,564,429,558,268,191,258,71,3367
POA7018,1449,2811,1401,1598,1611,934,391,835,167,11199
POA7019,296,530,475,568,495,304,191,423,68,3348
POA7020,200,372,273,189,166,93,43,91,23,1447
POA7021,191,344,189,165,176,111,29,86,23,1311
POA7022,69,94,77,58,67,23,22,28,10,444
POA7023,22,61,27,16,23,16,8,10,0,179
POA7024,49,87,54,25,40,11,7,19,6,307
POA7025,168,211,133,88,116,58,40,49,15,880
POA7026,88,64,96,67,78,43,52,74,3,559
POA7027,17,13,25,18,13,10,17,15,6,122
POA7030,805,706,1431,1246,1112,829,843,1143,208,8323
POA7050,906,1814,895,911,979,648,214,584,136,7084
POA7052,561,1120,462,470,543,283,99,241,60,3833
POA7053,283,741,129,197,159,103,21,81,21,1738
POA7054,661,1313,732,526,562,361,187,354,81,4780
POA7055,18,69,55,43,42,23,8,12,4,274
POA7109,633,868,733,519,514,308,244,555,89,4462
POA7112,208,272,189,149,119,91,64,141,40,1272
POA7113,71,88,76,63,52,30,30,68,13,492
POA7116,156,150,137,112,93,46,77,160,26,958
POA7117,48,58,42,48,31,11,21,99,12,362
POA7119,0,0,3,0,0,0,4,7,0,16
POA7120,172,74,87,90,61,62,68,125,18,767
POA7139,7,0,0,0,0,0,0,0,0,4
POA7140,574,509,833,781,554,413,507,751,104,5020
POA7150,225,371,235,156,160,73,70,152,30,1477
POA7155,64,114,70,48,37,26,23,44,4,425
POA7162,43,83,42,33,29,21,10,22,8,293
POA7163,29,35,25,18,21,5,3,14,0,158
POA7170,537,745,447,335,456,258,100,163,47,3088
POA7171,231,309,281,256,320,175,102,184,34,1897
POA7172,266,277,306,258,313,200,130,224,47,2012
POA7173,394,549,682,490,447,302,190,372,81,3499
POA7174,15,15,18,3,14,5,6,12,0,94
POA7175,22,26,11,8,10,0,0,13,3,95
POA7176,10,9,11,12,11,10,4,10,5,82
POA7177,41,21,32,24,20,13,16,26,5,198
POA7178,22,16,18,12,14,6,10,8,0,109
POA7179,23,48,19,18,21,5,4,24,5,169
POA7180,5,8,14,5,3,0,8,8,0,58
POA7182,12,3,18,10,7,8,4,10,0,81
POA7183,7,0,0,0,0,0,0,0,0,15
POA7184,40,47,49,45,28,15,16,68,13,326
POA7185,19,9,11,8,0,0,3,3,0,55
POA7186,17,10,12,12,0,0,7,13,0,72
POA7187,12,3,3,8,6,3,5,7,0,43
POA7190,268,143,185,140,117,80,95,249,28,1311
POA7209,46,15,21,6,13,19,8,40,10,169
POA7210,74,43,65,39,27,54,26,89,11,417
POA7211,22,13,9,11,3,7,11,29,4,114
POA7212,160,142,124,80,95,64,65,93,9,819
POA7213,25,8,13,9,9,8,16,17,0,104
POA7214,27,19,18,25,17,5,33,30,3,181
POA7215,252,241,226,233,157,120,75,292,29,1629
POA7216,187,160,194,172,118,128,70,188,29,1238
POA7248,580,924,906,1239,650,773,660,1355,164,7250
POA7249,745,1450,943,975,812,680,465,665,113,6844
POA7250,2898,5735,3118,3350,2982,2341,1405,2253,373,24449
POA7252,197,298,240,160,172,106,118,121,28,1435
POA7253,126,163,260,235,137,143,224,289,50,1635
POA7254,45,29,39,25,15,19,29,38,13,242
POA7255,126,59,54,40,33,28,26,63,12,425
POA7256,206,77,110,61,80,46,45,187,20,838
POA7257,7,3,0,8,3,0,0,4,0,21
POA7258,128,138,64,42,47,45,22,27,15,520
POA7259,38,44,44,34,21,9,32,21,7,244
POA7260,248,129,183,143,135,120,170,275,34,1443
POA7261,27,3,6,6,7,4,9,16,0,86
POA7262,169,100,155,101,75,46,72,121,14,845
POA7263,73,20,14,16,8,15,31,61,5,237
POA7264,47,15,20,22,16,6,9,56,0,193
POA7265,28,3,10,5,10,3,8,19,0,88
POA7267,64,58,70,50,45,35,43,47,3,404
POA7268,75,93,84,63,56,31,40,50,12,511
POA7270,200,187,252,175,163,139,184,236,40,1581
POA7275,237,259,227,167,179,101,108,152,21,1452
POA7276,31,56,56,41,31,40,21,40,8,322
POA7277,409,671,471,426,371,291,178,228,50,3096
POA7290,120,184,215,142,176,133,111,126,26,1238
POA7291,63,53,61,26,58,26,39,39,4,372
POA7292,94,46,49,31,37,33,26,39,3,358
POA7300,229,266,330,251,268,197,188,208,30,1969
POA7301,282,262,339,269,227,172,196,283,32,2067
POA7302,158,69,138,71,71,70,108,158,33,883
POA7303,193,179,205,169,120,90,142,241,20,1361
POA7304,557,322,323,334,205,168,228,403,45,2588
POA7305,61,37,93,50,47,26,67,85,14,480
POA7306,280,232,333,227,194,118,173,265,40,1859
POA7307,717,755,820,706,512,501,436,645,96,5178
POA7310,1291,1796,1916,1853,1287,1253,941,1860,242,12430
POA7315,807,1015,997,932,688,584,565,879,125,6592
POA7316,400,544,489,383,298,234,255,309,48,2957
