model,candidate_id,parameters,cv_folds,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_spearman_mean,cv_spearman_std,fit_seconds
KNN,knn_34,"{""n_features"": 8, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.08912030866193434,0.033006736394783215,0.13556468899469154,0.04559091498817969,0.32581854420163253,0.6577894127923218,0.21324754326758777,1.0027212999993935
KNN,knn_33,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09006485226793724,0.033535858233123904,0.1375346020359685,0.048549778941110545,0.255367024815431,0.6546718905463487,0.19498762518678603,1.0030745999829378
KNN,knn_81,"{""n_features"": 5, ""n_neighbors"": 8, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09184083833892479,0.03381738563724647,0.1368203085498094,0.04568110778385312,0.271433444255355,0.6544760508386227,0.20342084378837733,0.9410046999983024
KNN,knn_82,"{""n_features"": 8, ""n_neighbors"": 8, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.0924573419326457,0.033600180809713436,0.1376390236959669,0.043961387915551896,0.2755388125502142,0.6766519652200585,0.206721693241373,0.9354224000126123
KNN,knn_10,"{""n_features"": 8, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""power"", ""weights"": ""uniform""}",50,0.09290258495315738,0.0330289821023979,0.1399075979003309,0.04523892950579602,0.2698515640666877,0.6503188703208507,0.20200457932295138,1.009492900018813
KNN,knn_46,"{""n_features"": 8, ""n_neighbors"": 5, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09291264651154033,0.032986076968012853,0.14053330666021346,0.04593555973620455,0.28405796240562203,0.6466415875160456,0.21538837231594266,1.0643872000218835
KNN,knn_45,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.0933178131710989,0.034162219133476626,0.14175125656766185,0.04979718955700841,0.23101308000217408,0.620087760147213,0.2380559040198193,1.035577500006184
KNN,knn_93,"{""n_features"": 5, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09356116326817826,0.034117794552291913,0.13948943747960407,0.04615437706865617,0.24913102590110137,0.6513245356871075,0.21271740927613655,1.0018969999800902
KNN,knn_35,"{""n_features"": 11, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09373460021135166,0.03489604442175261,0.13915867152599903,0.04701486020738034,0.27044373164741986,0.6607116306124197,0.21494388299881867,0.9909551999880932
KNN,knn_129,"{""n_features"": 5, ""n_neighbors"": 11, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09388327931577731,0.03498968835971837,0.1388005108512322,0.046001413152479305,0.24790927441792987,0.6458599000204905,0.21095953929851993,0.9981853000062983
KNN,knn_94,"{""n_features"": 8, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09451129623235119,0.034261584677549,0.14049452680912072,0.04475712319302,0.24721958659199786,0.6662290421060585,0.2071242209138049,0.9948273000190966
KNN,knn_141,"{""n_features"": 5, ""n_neighbors"": 11, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.09460089854788052,0.03472128674031995,0.13939802541718854,0.046230208891150905,0.24160685395140752,0.6604701470382404,0.20532887975911018,0.9427629999991041
KNN,knn_09,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""power"", ""weights"": ""uniform""}",50,0.09497222072807954,0.03374918896983321,0.14382103416288494,0.0461227816400722,0.19344229219491066,0.6289993138816647,0.2114538527274344,1.0548964999907184
KNN,knn_83,"{""n_features"": 11, ""n_neighbors"": 8, ""p"": 1, ""transformer"": ""power"", ""weights"": ""distance""}",50,0.0950425634593966,0.034178196346696596,0.13959154012952474,0.04502117274276433,0.255902784814636,0.6680540223395236,0.20890822675524282,0.932907400012482
