merchant_abn,merchant_name,consumer_exposure_percentile,direct_merchant_fraud_percentile,fraud_risk_consumer_70_direct_30,fraud_risk_equal_weight,fraud_risk_consumer_30_direct_70
11149063370,Et Arcu Limited,0.05982324949014276,0.65,0.23687627464309993,0.3549116247450714,0.4729469748470428
11470993597,Sed Associates,0.42329481078631315,0.75,0.5213063675504191,0.5866474053931565,0.6519884432358939
11590404675,Arcu Sed PC,0.08633582596872875,0.25,0.13543507817811012,0.16816791298436437,0.20090074779061862
14530561097,Duis At Inc.,0.8017221844550193,0.95,0.8462055291185135,0.8758610922275096,0.9055166553365057
14827550074,,0.12508497620666215,0.5666666666666667,0.2575594833446635,0.3458758214366644,0.43419215952866524
15043504837,Odio Incorporated,0.13301608882846136,0.5333333333333333,0.25311126217992297,0.33317471108089736,0.4132381599818717
15157368385,Tempus Non Lacinia Inc.,0.9245411284840245,0.7833333333333333,0.882178789938817,0.8539372309086789,0.8256956718785406
18158387243,Nec Tellus Ltd,0.6050305914343984,0.16666666666666666,0.4735214140040789,0.3858486290505325,0.29817584409698616
18737319630,Ut Industries,0.28982551552232044,0.9166666666666666,0.4778778608656242,0.6032460910944936,0.7286143213233627
19010030815,,0.08678903240426014,0.6333333333333333,0.2507523226829821,0.36006118286879674,0.46937004305461133
19492220327,Commodo Ipsum Industries,0.22184455019261273,0.4166666666666667,0.28029118513482887,0.31925560842963974,0.3582200317244505
21439773999,Mauris Non Institute,0.5973260820303649,0.08333333333333333,0.4431282574212554,0.3403297076818491,0.23753115794244278
22606727520,Laoreet Ipsum Industries,0.30976659868570133,0.6833333333333333,0.4218366190799909,0.49654996600951734,0.5712633129390438
23686790459,,0.08135055517788353,0.9333333333333333,0.33694538862451845,0.5073419442556084,0.6777384998866984
23709946765,Faucibus Leo Corp.,0.37072286426467255,0.5833333333333334,0.4345060049852708,0.477028098799003,0.519550192612735
27093785141,Placerat Orci Institute,0.4624971674597779,0.15,0.3687480172218445,0.30624858372988895,0.24374915023793337
29674997261,,0.02198051212327215,0.6,0.1953863584862905,0.31099025606163605,0.4265941536369816
30275989942,Arcu Vivamus Sit Limited,0.32993428506684797,0.7,0.44095399954679354,0.5149671425334239,0.5889802855200543
31334588839,Lacus Aliquam Corporation,0.1699524133242692,0.45,0.2539666893269884,0.3099762066621346,0.36598572399728074
32258116290,Id Foundation,0.32087015635622024,0.6666666666666666,0.42460910944935415,0.49376841151144346,0.5629277135735327
35575706403,Tempus Mauris Ltd,0.06594153636981645,0.9833333333333333,0.3411590754588715,0.5246374348515749,0.7081157942442782
35909341340,Arcu Sed Eu Incorporated,0.46589621572626333,0.2,0.3861273510083843,0.33294810786313167,0.279768864717879
39649557865,Arcu Morbi Institute,0.5696804894629504,0.13333333333333333,0.43877634262406523,0.35150691139814183,0.26423748017221843
43083074133,Faucibus Leo In LLC,0.21096759573985951,0.6166666666666667,0.33267731701790165,0.41381713120326313,0.4949569453886245
48534649627,Dignissim Maecenas Foundation,0.5343303874915024,0.1,0.4040312712440517,0.3171651937457512,0.2302991162474507
50315283629,Iaculis Aliquet Diam LLC,0.5019261273510084,0.11666666666666667,0.38634828914570585,0.30929639700883754,0.23224450487196918
57564805948,,0.3174711080897349,0.35,0.3272297756628144,0.33373555404486743,0.34024133242692045
59258669983,,0.1380013596193066,0.3,0.1866009517335146,0.2190006798096533,0.251400407885792
67264251405,Elit Dictum Eu Foundation,0.9956945388624519,0.008333333333333333,0.6994861772037162,0.5020139360978926,0.3045416949920689
72058040180,Mi Corporation,0.08406979379107184,0.48333333333333334,0.20384885565375027,0.2837015635622026,0.3635542714706549
73052515151,,0.11579424427826875,0.03333333333333333,0.09105597099478811,0.07456378880580104,0.05807160661681395
75892370170,,0.05755721731248584,0.05,0.05529005211874008,0.05377860865624292,0.052267165193745746
76767266140,Phasellus At Limited,0.5893949694085656,0.21666666666666667,0.4775764785859959,0.40303081803761615,0.32848515748923635
76968105359,Nec Limited,0.410151824155903,0.8666666666666667,0.5471062769091322,0.6384092454112849,0.7297122139134375
78080443264,Nullam Enim Sed Incorporated,0.6795830500793111,0.8833333333333333,0.7407081350555177,0.7814581917063221,0.8222082483571266
78187460332,Molestie Sed Limited,0.2463176977113075,0.8,0.41242238839791523,0.5231588488556538,0.6338953093133922
79100970961,Nunc Quisque Ornare Institute,0.6349422161794698,0.8333333333333334,0.6944595513256289,0.7341377747564015,0.7738159981871743
79827781481,Amet Risus Inc.,0.416043507817811,0.26666666666666666,0.3712304554724677,0.34135508724223884,0.31147971901200994
80089686333,Tincidunt Nibh LLP,0.7215046453659641,0.85,0.7600532517561749,0.7857523226829821,0.8114513936097892
80518954462,Neque Sed Dictum Incorporated,0.536823022886925,0.2833333333333333,0.46077611602084745,0.41007817811012914,0.3593802401994108
81146325646,,0.7149331520507591,0.7333333333333333,0.7204532064355313,0.7241332426920462,0.7278132789485611
82368304209,Nec Incorporated,0.2431452526625878,0.38333333333333336,0.2852016768638114,0.3132392929979606,0.3412769091321096
82999039227,,0.06684794924087922,1.0,0.3467935644686154,0.5334239746204397,0.7200543847722637
83199298021,Ligula Elit Pretium Foundation,0.46430999320190347,0.4,0.4450169952413324,0.43215499660095175,0.419292997960571
83220249221,,0.354180829367777,0.7666666666666667,0.47792658055744386,0.5604237480172218,0.6429209154769997
85482742429,Mi Eleifend Egestas LLP,0.5234534330387491,0.9,0.6364174031271244,0.7117267165193746,0.7870360299116248
86889657711,Accumsan Corporation,0.7360072513029685,0.7166666666666667,0.730205075912078,0.7263369589848176,0.7224688420575571
87084550311,Vulputate Inc.,0.31565828234760934,0.55,0.3859607976433265,0.43282914117380467,0.4796974847042828
89109402284,Interdum Feugiat Sed Incorporated,0.9893496487650124,0.18333333333333332,0.7475447541355087,0.5863414910491729,0.42513822796283707
90568944804,Diam Eu Dolor LLC,0.6836619079990935,0.3333333333333333,0.5785633355993655,0.5084976206662134,0.43843190573306134
90918180829,Pharetra Quisque Company,0.11262179922954905,0.5166666666666667,0.23383525946068434,0.3146442329481079,0.3954532064355314
91880575299,At Foundation,0.1257647858599592,0.4666666666666667,0.22803535010197143,0.29621572626331294,0.3643961024246544
93260930990,Pede Cras Vulputate Ltd,0.28552005438477224,0.43333333333333335,0.32986403806934056,0.3594266938590528,0.388989349648765
93292821052,Purus Sapien Gravida Associates,0.7767958305007931,0.8166666666666667,0.7887570813505551,0.7967312485837299,0.8047054158169046
93558142492,Dolor Quisque Inc.,0.36800362565148426,0.36666666666666664,0.367602537956039,0.3673351461590755,0.3670677543621119
94311056026,,0.18921368683435305,0.06666666666666667,0.1524495807840471,0.12794017675050987,0.10343077271697257
94493496784,Dictum Phasellus In Institute,0.5248130523453433,0.31666666666666665,0.46236913664174023,0.42073985950600495,0.3791105823702696
96680767841,Ornare Limited,0.557443915703603,0.23333333333333334,0.46021074099252207,0.3953886245184681,0.33056650804441423
97217894162,Varius Corporation,0.04600045320643553,0.5,0.18220031724450486,0.27300022660321777,0.3638001359619306
97884414539,Ut Corporation,0.11352821210061183,0.9666666666666667,0.36946974847042824,0.5400974393836393,0.7107251302968501
99989036621,,0.0036256514842510764,0.008333333333333333,0.005037956038975753,0.005979492408792204,0.006921028778608656
